,link,conference,title
101,http://aclweb.org/anthology/P17-1137,acl-2017,learning to create and reuse words in open-vocabulary neural language modeling
102,http://aclweb.org/anthology/P17-1138,acl-2017,bandit structured prediction for neural sequence-to-sequence learning
103,http://aclweb.org/anthology/P17-1142,acl-2017,combating human trafficking with multimodal deep models
104,http://aclweb.org/anthology/P17-1148,acl-2017,learning semantic correspondences in technical documentation
105,http://aclweb.org/anthology/P17-1149,acl-2017,bridge text and knowledge by learning multi-prototype entity mention embedding
106,http://aclweb.org/anthology/P17-1150,acl-2017,interactive learning of grounded verb semantics towards human-robot communication
107,http://aclweb.org/anthology/P17-1162,acl-2017,learning symmetric collaborative dialogue agents with dynamic knowledge graph embeddings
108,http://aclweb.org/anthology/P17-1166,acl-2017,jointly extracting relations with class ties via effective deep ranking
109,http://aclweb.org/anthology/P17-1167,acl-2017,search-based neural structured learning for sequential question answering
110,http://aclweb.org/anthology/P17-1172,acl-2017,learning to skim text
111,http://aclweb.org/anthology/P17-1186,acl-2017,deep multitask learning for semantic dependency parsing
112,http://aclweb.org/anthology/P17-1187,acl-2017,improved word representation learning with sememes
113,http://aclweb.org/anthology/P17-1188,acl-2017,learning character-level compositionality with visual features
114,http://aclweb.org/anthology/P17-1189,acl-2017,a progressive learning approach to chinese srl using heterogeneous data
115,http://aclweb.org/anthology/P17-1194,acl-2017,semi-supervised multitask learning for sequence labeling
116,http://aclweb.org/anthology/P17-2008,acl-2017,incorporating uncertainty into deep learning for spoken language assessment
117,http://aclweb.org/anthology/P17-2012,acl-2017,learning to parse and translate improves neural machine translation
118,http://aclweb.org/anthology/P17-2022,acl-2017,learning lexico-functional patterns for first-person affect
119,http://aclweb.org/anthology/P17-2023,acl-2017,lifelong learning crf for supervised aspect extraction
120,http://aclweb.org/anthology/P17-2031,acl-2017,attention strategies for multi-source sequence-to-sequence learning
121,http://aclweb.org/anthology/P17-2054,acl-2017,multi-task learning of keyphrase boundary classification
122,http://aclweb.org/anthology/P17-2056,acl-2017,integrating deep linguistic features in factuality prediction over unified datasets
123,http://aclweb.org/anthology/P17-2059,acl-2017,a deep network with visual text composition behavior
124,http://aclweb.org/anthology/P17-2070,acl-2017,learning topic-sensitive word representations
125,http://aclweb.org/anthology/P17-2076,acl-2017,twitter demographic classification using deep multi-modal multi-task learning
126,http://aclweb.org/anthology/P17-2081,acl-2017,question answering through transfer learning from large fine-grained supervision data
127,http://aclweb.org/anthology/P17-2087,acl-2017,disfluency detection using a noisy channel model and a deep neural language model
128,http://aclweb.org/anthology/P17-2100,acl-2017,improving semantic relevance for sequence-to-sequence learning of chinese social media text summarization
129,http://aclweb.org/anthology/P17-3010,acl-2017,variation autoencoder based network representation learning for classification
130,http://aclweb.org/anthology/P17-5002,acl-2017,"multimodal machine learning: integrating language, vision and speech"
131,http://aclweb.org/anthology/P17-5003,acl-2017,deep learning for semantic composition
132,http://aclweb.org/anthology/P17-5004,acl-2017,deep learning for dialogue systems
133,http://aclweb.org/anthology/P17-5005,acl-2017,beyond words: deep learning for multiword expressions and collocations
